id,company_name,vacancies_count,avg_salary,min_salary,max_salary,vacancies_with_salary,industry
33,СБЕР,19,65000.0,50000.0,80000.0,1,Финансы / Банки
97,ИЦ АЙ-ТЕКО,6,225000.0,200000.0,270000.0,1,Другое
62,Ozon,5,,,,0,Ритейл / Торговля
12,RedLab​4.61​,4,281875.0,166000.0,450000.0,4,IT / Технологии
42,X5 Tech,4,,,,0,IT / Технологии
40,БЮРО 1440,3,,,,0,Другое
168,Арнест ЮниРусь,3,,,,0,Другое
150,ПИТОН,3,245000.0,120000.0,450000.0,3,Другое
167,T2,2,,,,0,Другое
124,РТЛабс,2,,,,0,Другое
10,Сбер​3.64​,2,380000.0,300000.0,453000.0,2,Финансы / Банки
82,СП Солюшен,2,,,,0,Другое
14,ЛАНИТ​4.77​,2,232500.0,168000.0,297000.0,1,Другое
74,amoCRM,2,,,200000.0,0,Другое
135,РУСАЛ,2,,,,0,Другое
